subject_id,group,idol,audio_type,Q1_false_memory,Q2_confidence,Q3_audio_judgment,Q4_confidence,Q6_likeability,Q8_listening_freq,Q9_voice_familiarity,detection_correct
sub-001,A,Hanni,real,1,2,6,3,3,2,2,1
sub-002,A,Jennie,real,1,5,5,2,4,3,5,1
sub-003,B,Hanni,real,1,4,6,1,4,5,3,1
sub-004,A,Jennie,real,1,2,6,2,4,1,2,1
sub-005,A,Hanni,deepfake,1,4,6,2,5,5,3,0
sub-006,B,Hanni,real,0,3,6,3,5,4,1,1
sub-007,B,Jennie,deepfake,0,3,5,2,5,5,2,0
sub-008,A,Hanni,deepfake,1,1,5,2,2,1,5,0
sub-009,B,Jennie,deepfake,0,5,1,3,3,4,2,1
sub-010,A,Jennie,real,1,4,6,2,5,5,2,1
sub-011,B,Jennie,real,0,2,6,2,3,4,2,1
sub-012,A,Jennie,real,0,3,5,2,3,2,2,1
sub-013,B,Jennie,real,1,1,5,1,4,2,3,1
sub-014,B,Jennie,deepfake,1,1,2,1,2,5,1,1
sub-015,A,Jennie,real,1,4,5,1,5,4,4,1
sub-016,A,Jennie,real,1,3,6,3,4,1,2,1
sub-017,A,Jennie,real,0,5,5,5,4,5,5,1
sub-018,A,Jennie,real,0,3,1,2,5,2,2,0
sub-019,B,Jennie,real,0,4,5,2,3,2,5,1
sub-020,A,Hanni,deepfake,0,4,1,3,4,5,3,1
sub-021,B,Hanni,real,0,3,5,2,3,4,5,1
sub-022,B,Jennie,deepfake,1,4,5,1,2,2,4,0
sub-023,B,Jennie,real,0,3,6,5,3,4,1,1
sub-024,A,Jennie,deepfake,1,2,2,4,2,2,5,1
sub-025,A,Jennie,real,0,3,5,2,3,2,5,1
sub-026,A,Jennie,real,0,3,5,1,4,3,1,1
sub-027,A,Jennie,deepfake,1,4,5,4,4,2,4,0
sub-028,B,Jennie,deepfake,1,4,1,5,2,1,2,1
sub-029,B,Jennie,deepfake,1,1,5,4,5,5,5,0
sub-030,B,Hanni,real,0,1,6,1,2,5,1,1
sub-031,A,Jennie,deepfake,0,2,5,4,2,4,3,0
sub-032,A,Hanni,real,0,1,6,3,3,2,1,1
sub-033,B,Jennie,real,1,3,5,4,3,1,3,1
sub-034,B,Jennie,deepfake,0,4,1,2,2,4,4,1
sub-035,B,Hanni,deepfake,0,1,5,2,4,3,2,0
sub-036,B,Jennie,real,1,1,6,3,3,4,1,1
sub-037,B,Hanni,real,1,2,6,1,5,4,5,1
sub-038,A,Jennie,deepfake,1,2,1,2,3,2,4,1
sub-039,A,Jennie,deepfake,0,3,5,5,3,3,1,0
sub-040,A,Hanni,deepfake,1,4,5,2,5,4,5,0
sub-041,B,Jennie,real,0,2,6,2,2,1,1,1
sub-042,B,Hanni,real,0,1,1,1,5,1,3,0
sub-043,B,Jennie,real,0,4,6,4,2,5,1,1
sub-044,A,Hanni,real,0,4,5,2,2,3,1,1
sub-045,B,Hanni,real,0,1,5,3,2,3,1,1
sub-046,A,Jennie,real,1,2,6,4,5,5,4,1
sub-047,A,Jennie,deepfake,1,1,5,5,2,4,1,0
sub-048,A,Hanni,real,1,4,6,1,4,3,5,1
sub-049,B,Jennie,real,1,5,5,5,5,1,3,1
sub-050,A,Jennie,real,1,5,5,4,4,1,3,1
sub-051,A,Jennie,deepfake,0,3,5,4,2,2,1,0
sub-052,B,Hanni,real,0,1,6,4,3,3,4,1
sub-053,A,Hanni,real,1,1,1,5,2,4,4,0
sub-054,B,Hanni,deepfake,1,3,1,4,4,5,5,1
sub-055,B,Hanni,real,0,3,5,5,4,5,1,1
sub-056,B,Hanni,real,1,3,5,4,5,4,3,1
