participant_idx,group_number,timestamp,clip_number,group_range,Q1_false_memory,Q2_confidence,Q3_audio_judgment,Q4_confidence,Q5_발음,Q5_억양,Q5_감정 표현,Q5_음질,Q5_박자감(리듬감),Q5_숨소리나 호흡의 자연스러운 정도,Q6_likeability,Q7_listening_freq,Q8_voice_familiarity,Q1_false_memory_binary,Q2_confidence_num,Q3_judgment_category,Q3_judgment_num,Q4_confidence_num,Q6_likeability_num,Q7_listening_freq_num,Q8_voice_familiarity_num,Q5_발음_num,Q5_억양_num,Q5_감정 표현_num,Q5_음질_num,Q5_박자감(리듬감)_num,Q5_숨소리나 호흡의 자연스러운 정도_num
0,6,2025-06-25 17:10:54.098,1,1-8,(1) 예,(4) 꽤 확신한다,"(6) 실제 가수가 부른 후, 후처리(후보정)를 거쳐 제작된 음원으로 보인다.",(2) 별로 확신하지 않는다,(2) 거의 영향을 미치지 않음,(2) 거의 영향을 미치지 않음,(3) 다소 영향을 미침,(3) 다소 영향을 미침,(4) 상당한 영향을 미침,(4) 상당한 영향을 미침,(3) 보통이다,(4) 자주 듣는다,(4) 꽤 잘 안다,1.0,4.0,Real,6.0,2.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0
0,6,2025-06-25 17:10:54.098,2,1-8,(2) 아니요,(4) 꽤 확신한다,(1) 딥러닝 기반 AI 음성 합성 기술로 생성된 음원으로 보인다.,(2) 별로 확신하지 않는다,(2) 거의 영향을 미치지 않음,(2) 거의 영향을 미치지 않음,(2) 거의 영향을 미치지 않음,(4) 상당한 영향을 미침,(2) 거의 영향을 미치지 않음,(4) 상당한 영향을 미침,(3) 보통이다,(3) 보통이다,(4) 꽤 잘 안다,0.0,4.0,AI,1.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0
0,6,2025-06-25 17:10:54.098,3,1-8,(2) 아니요,(5) 매우 확신한다,(1) 딥러닝 기반 AI 음성 합성 기술로 생성된 음원으로 보인다.,(4) 꽤 확신한다,(4) 상당한 영향을 미침,(4) 상당한 영향을 미침,(2) 거의 영향을 미치지 않음,(2) 거의 영향을 미치지 않음,(2) 거의 영향을 미치지 않음,(4) 상당한 영향을 미침,(3) 보통이다,(4) 자주 듣는다,(4) 꽤 잘 안다,0.0,5.0,AI,1.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0
0,6,2025-06-25 17:10:54.098,4,1-8,(2) 아니요,(5) 매우 확신한다,"(6) 실제 가수가 부른 후, 후처리(후보정)를 거쳐 제작된 음원으로 보인다.",(2) 별로 확신하지 않는다,(4) 상당한 영향을 미침,(4) 상당한 영향을 미침,(5) 매우 큰 영향을 미침,(3) 다소 영향을 미침,(3) 다소 영향을 미침,(4) 상당한 영향을 미침,(4) 호감이다,(3) 보통이다,(4) 꽤 잘 안다,0.0,5.0,Real,6.0,2.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0
1,3,2025-06-25 17:36:44.652,1,1-8,(1) 예,(4) 꽤 확신한다,(2) MIDI 기반 음성 합성 엔진(예:보컬로이드) 를 이용해 생선된 음원으로 보인다.,(2) 별로 확신하지 않는다,(3) 다소 영향을 미침,(3) 다소 영향을 미침,(1) 전혀 영향을 미치지 않음,(2) 거의 영향을 미치지 않음,(2) 거의 영향을 미치지 않음,(2) 거의 영향을 미치지 않음,(4) 호감이다,(2) 거의 들어본 적 없다,(2) 거의 모른다,1.0,4.0,AI,2.0,2.0,4.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0
1,3,2025-06-25 17:36:44.652,2,1-8,(1) 예,(3) 보통이다,"(4) 모창 가수(실제 사람)가 부른 후, 후처리(후보정)를 거쳐 제작된 음원으로 보인다.",(2) 별로 확신하지 않는다,(2) 거의 영향을 미치지 않음,(2) 거의 영향을 미치지 않음,(3) 다소 영향을 미침,(2) 거의 영향을 미치지 않음,(2) 거의 영향을 미치지 않음,(3) 다소 영향을 미침,(3) 보통이다,(3) 보통이다,(2) 거의 모른다,1.0,3.0,Other,4.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0
1,3,2025-06-25 17:36:44.652,3,1-8,(2) 아니요,(3) 보통이다,"(3) 모창 가수(실제 사람)가 부른 후, 별도의 후처리(후보정) 없이 라이브로 녹음한 음원으로 보인다.",(3) 보통이다,(2) 거의 영향을 미치지 않음,(2) 거의 영향을 미치지 않음,(2) 거의 영향을 미치지 않음,(4) 상당한 영향을 미침,(3) 다소 영향을 미침,(3) 다소 영향을 미침,(3) 보통이다,(2) 거의 들어본 적 없다,(2) 거의 모른다,0.0,3.0,Other,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0
1,3,2025-06-25 17:36:44.652,4,1-8,(2) 아니요,(2) 별로 확신하지 않는다,"(5) 실제 가수가 부른 후, 별도의 후처리(후보정) 없이 라이브로 녹음한 음원으로 보인다.",(1) 전혀 확신하지 않는다,(2) 거의 영향을 미치지 않음,(2) 거의 영향을 미치지 않음,(2) 거의 영향을 미치지 않음,(4) 상당한 영향을 미침,(3) 다소 영향을 미침,(3) 다소 영향을 미침,(3) 보통이다,(3) 보통이다,(2) 거의 모른다,0.0,2.0,Real,5.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0
2,3,2025-07-01 13:48:45.075,1,1-8,(2) 아니요,(4) 꽤 확신한다,(1) 딥러닝 기반 AI 음성 합성 기술로 생성된 음원으로 보인다.,(3) 보통이다,(4) 상당한 영향을 미침,(4) 상당한 영향을 미침,(4) 상당한 영향을 미침,(4) 상당한 영향을 미침,(4) 상당한 영향을 미침,(4) 상당한 영향을 미침,(4) 호감이다,(4) 자주 듣는다,(4) 꽤 잘 안다,0.0,4.0,AI,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
2,3,2025-07-01 13:48:45.075,2,1-8,(1) 예,(5) 매우 확신한다,"(6) 실제 가수가 부른 후, 후처리(후보정)를 거쳐 제작된 음원으로 보인다.",(4) 꽤 확신한다,(5) 매우 큰 영향을 미침,(5) 매우 큰 영향을 미침,(5) 매우 큰 영향을 미침,(5) 매우 큰 영향을 미침,(4) 상당한 영향을 미침,(5) 매우 큰 영향을 미침,(5) 매우 호감이다,,,1.0,5.0,Real,6.0,4.0,5.0,,,5.0,5.0,5.0,5.0,4.0,5.0
